In my car tire some noise was coming, so I gone service center all of them told noise was not came, it's was your illusion one engineer  came and he checked my car completely and he removed some problem in it. Then they repaired my car and give back to me.	 Issue Resolution	 Issue Resolution	Free Service / Discount	Roadside Assistance	
My car's stirrings got hard and it creates voice also, hence I showed my car to them, they told your car is under warranty period, so we will charge for it, I felt good that they personally told that, this will beared by our company. I thought that I have to paid charges for that but I didn't had to pay.	 Free Service / Discount	 Issue Resolution	Free Service / Discount	Quick Service	
I went to dealership to buy Etios LIVA not any other cars. Similarly, in other place I went to see Hyundai I10 and Maruti cars but in Toyota dealership when I entered the showroom I felt some different experience in that place. It gives me the feeling that I have entered in abroad like Gulf countries. All the sections there was very great, good responsiveness from the staff thus me and my wife had a very much good experience. They took me all the sections and explained me very clearly. 	 Detailed Explanation	 Detailed Explanation	Quick Service	Issue Resolution	
After service completed on next day, my car had a brake down at Nungambakkam. I called to Chennai dealership but they connected Pondicherry dealership. The smoke started coming out from the engine. They told me, if I use the car in traffic then it will be like that only. He told me to off the car and put water inside it and the car started with the help of their guidelines. This was a heart touching experience from the dealership.	 Issue Resolution	 Issue Resolution	Roadside Assistance	Detailed Explanation	
When, I was visited there to take car, it was my birthday they celebrate it. They make good arrangement & cut the cake. They give me surprise gift also. I was very happy.	 Gift / Free Stuff	 Gift / Free Stuff	Dealer Event	Personal Need	
I purchased the car on my birthday. They celebrated my birthday inside the showroom. This was a heart touching experience for me.	 Gift / Free Stuff	 Gift / Free Stuff	Personal Need	Quick Service	
One time my car clutch was damage I tried all number which I have it but it was not connected. Then I found one mobile number from website immediately one lady call me. I told my problem to her. My car was not in working condition then also I feel good that they understand our problem and there are alternate contact them and they pickup and drop.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Personal Need	
At Lanson Toyota Nandanam dealership, they service the car in just 1 hour and deliver it.This made me more happy and unforgettable movement for me.	 Quick Service	 Quick Service	Roadside Assistance	Detailed Explanation	
Once my car was not working, so I made call in the service centre, They came to me took my car to the company and they serviced it very nicely.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Pick up / Drop	
My car battery was not working in the night and it was 12pm and the car was not starting, so I made a call in the servicing centre. They immediately came to me at 12pm and serviced my car immediately within an hour.	 Roadside Assistance	 Roadside Assistance	Quick Service	Issue Resolution	
I was going with my friend in the car to the showroom. In between, the road my friends car stopped working, so I made a call in the showroom and I told them that car is not working, please try to send one car then after that they said there is no driver available right now but after sometimes, they called me and told me where are you we will send one car for your help then after I told them it is ok, sir we only will come to you. I like the way, they were talking with me.	 Roadside Assistance	 Personal Need	Roadside Assistance	Issue Resolution	
I had given my car for servicing and was not have any alternate car so they provided me car to reach my town.	 Personal Need	 Personal Need	Issue Resolution	Gift / Free Stuff	
Last year in monsoon, my car got water logged means there was leaking in the car. As a result, the entire carpet was wet, so the service advisor at Lakozy Toyota. The car was under warranty but still Lakozy person ensured and replaced the carpet of my car. The service advisor Mr. Alfred helped me. 	 Care from Staff	 Personal Need	Roadside Assistance	Detailed Explanation	
When I had gone for car booking, they gave proper information in a nice manner, because of that there was no issue. 	 Detailed Explanation	 Issue Resolution	Detailed Explanation	Quick Service	
I had to give my car for servicing and after that I had to go home then they dropped me in bus stand in the car. It is for me heart touching experience because another company not provide such facility.	 Pick up / Drop	 Personal Need	Pick up / Drop	Roadside Assistance	
Once I had horn issues on my car. I took my car and went to dealership. The dealership gave me very quick service and the way of serving the customer I like it. 	 Quick Service	 Quick Service	Roadside Assistance	Issue Resolution	
I gave my car for servicing at that time, I wanted to go urgently for some other work. I requested them to arrange the car but they dropped me in their own car. This was a very good experience.	 Pick up / Drop	 Personal Need	Pick up / Drop	Quick Service	
When I delivered my car that time they committed the time they delivered before only. Without booking my car whatever they commitment given we received before only, I am very happy for this.	 Quick Service	 Quick Service	Personal Need	Issue Resolution	
While I was travelling with my family to city and it was 40 kms distance near Kurnool. My vehicle diesel light was blinking, so I called the service center then they came to us and they had given another vehicle and they took my vehicle for servicing.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Pick up / Drop	
My sister need a car so we visit the dealership but they hadn't available that color which we need but they arranged the same calour in 3 to 4 hours, It was really heart touching for me.	 Quick Service	 Issue Resolution	Quick Service	Personal Need	
I would like to buy grey color car but it is not available there so I called in Globe which is located at Chandigarh. Mr. Gunpreet was there he said me you will get a car and he gave me on time.	 Personal Need	 Personal Need	Issue Resolution	Care from Staff	
On the way back while driving the car a lamb suddenly came in between the car and we have braking from the long side. Thus there was some loss in my car but after that it was started. We have called up the dealership and they guided us and I said we are in native place. They asked us whether we visit to your place else you come to dealership. Then I said I will send my driver. they care that they show is very good.	 Roadside Assistance	 Personal Need	Roadside Assistance	Issue Resolution	
When I visited for their car servicing that time one of the staff was help me for parking the car at proper place. They were very well takecar of my car.	 Personal Need	 Quick Service	Issue Resolution	Personal Need	
Moment was good at the time of purchase a car. They arranged all material which is required for car worship. I have Tata sumo. I compared both moment at the time of car purchasing.    	 Gift / Free Stuff	 Gift / Free Stuff	Personal Need	Issue Resolution	
My brother was waiting at service center and he getting bored, so one of the staff member take him for market in their own car it was very heart touching for me.	 Personal Need	 Personal Need	Issue Resolution	Gift / Free Stuff	
When I took the car for servicing, at that time they took me for lunch and again dropped me to the dealership.	 Snacks	 Snacks	Pick up / Drop	Gift / Free Stuff	
On the Villupuram road my car had a problem, so called service center they asked me to bring car to the service center. Without any appointment they serviced my car within 45 mins that's a very happy moment for me.	 Quick Service	 Quick Service	Personal Need	Issue Resolution	
My car having problem of oil likege it was 7 to 8 oclock at evening. I call them they attend my call and give it to the person who is coming to repair the car. The people come at morning to my home and give me service.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Personal Need	
When, I took it for the first time, only the first vehicle which I bought ,I had gone for the delivery otherwise I have never go for any service. I went the thing was the manager who was there the Japanese person had come to deliver the vehicle ,that was very heart touching ,like the manager himself  comes to deliver it shows that they care for it, always prepaid going lakozy Toyota.	 Personal Need	 Personal Need	Care from Staff	Others	
Once I was going out for my fathers cancer operation, on the way the car stopped but the service center was 40kms far from my spot but anyhow I reached and the dealership people helped me by giving good and quick service,	 Issue Resolution	 Quick Service	Roadside Assistance	Personal Need	
Once my car was damaged on the road. There was little bit problem in the cars gear. As soon as, I called the staff of the dealership (Sambhalpur), he responded me immediately and told me wherever you are, you dont have to worry, we will do everything by our own. The problem of gear was a minor problem which was solved automatically. The staff of the dealership didnt have to come as the problem was solved automatically but the staff was ready to come. The staff himself communicated with me over phone, he was ready to send mechanic and told me Ill do everything you dont have to worry. At that time the staff responded me very well. Actually at that time cars gear was not working, when I was trying to change the gear of my car, the gear was not working. After that when I called a staff of the dealership, being so much responsible, he told me not to worry as he would do all the arrangements to help me. A kit was stuck inside the engine in front of the gear of my car. As the kit was removed from the car's engine, the gear was automatically started working and there was no major problem in the gear but a staff of the dealership who responded to me was very good. Whenever we have any trouble or we have to face any problem, if we call the staffs of the dealership and if the staffs tells us you dont have to worry, wherever you are, we are sending our staffs. This is a very big thing for us and it is enough for us. I dont know the name and designation of the staff with whom I had communicated over phone. From the dealership a staff called me over phone who look after the work of maintenance, I did not ask his name. The staff told me you just give your cars number I will do everything of your car. The staff told me to give your car number, I will ring you back. Then immediately after checking my cars Bio-data he had ringed me and told me wherever is your car Ill send our mechanic you dont worry.	 Roadside Assistance	 Issue Resolution	Personal Need	Free Service / Discount	
The girls and then the ET, the HRG and all the servicing in-charge of the vehicle are good. On the day we purchased the car though like we have to go and attend the final service but on the day he was chilled with us until still there the car was properly prepared and then properly It can be offered to us. I think that these are the best things that they had done. He was some RJK since Rkeshi like since I have to attend to the final service, so I might appoint some staffs whom bless of me. Even I had come for the final service but he was scared, present with us still the end and then told me we have to the final service because sometimes they provide me service. That was the best thing.	 Personal Need	 Issue Resolution	Personal Need	Detailed Explanation	
Once it was urgent and I had to go to the hospital, in Nandhavanam dealership I told them to give the service immediately, so they serviced my car in one and a half an hour and gave, so because of that I got the appointment on correct time and I went to the hospital so I felt nice about this.	 Quick Service	 Personal Need	Quick Service	Roadside Assistance	
I had problem of bumper but I had shown the bumper problem of all the dealership but Yashoda krishna dealership, they had solved the problem of bumper issue. Person Name: Prasad. Designataion: Customer relationship Manager.	 Issue Resolution	 Issue Resolution	Roadside Assistance	Care from Staff	
Once with my family, I went to Srirangam temple, at that time my car?s battery had got down. The car was not starting, so I called Annamalai Madurai dealership. They passed the information to Annamalai Trichy dealership, so one staff who works over there, he came to my home and changed the battery. It was a good feeling for me.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Detailed Explanation	
In Vilaspur, my car parts was broken then I called on toll free number. They came & bring my car. I get good service I have dont have to do anything, so it was given me good feeling.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Personal Need	
Once I had given my car for servicing then I return back I dont have any vehicle, so they ask me and dropped me till my home. So I feel very happy. This was my Heart touching experience.	 Pick up / Drop	 Personal Need	Pick up / Drop	Quick Service	
Whenever, my wife given vehicle for servicing, they had dropped my wife at home.	 Pick up / Drop	 Pick up / Drop	Personal Need	Pick Up / Drop	
I changed the horn for that I used to go to ATM for payment and I require one staff with me so they send one staff with me for payment ATM was far. It was 3-4 Km far. I made payment to home and I web so that I am not able to visit the center again. This care they provide was good.	 Personal Need	 Personal Need	Pick up / Drop	Quick Service	
I have to do car servicing but I was unable to go in the service Centre. They personally send one of staff to take my car for servicing and after servicing they drop my car at my house. So that experience was good for me.	 Personal Need	 Pick up / Drop	Personal Need	Issue Resolution	
I was going somewhere and suddenly the electric current was not reaching to the engine and my car was stopped on the way So I called the service center and they helped me over the phone it was really heart touching for me.	 Roadside Assistance	 Issue Resolution	Roadside Assistance	Personal Need	
When, I went there to bring my car that time. they brought worship material & congratulated me.	 Gift / Free Stuff	 Gift / Free Stuff	Roadside Assistance	Pick up / Drop	
They performed the work on the car very fast and time to time.	 Quick Service	 Quick Service	Personal Need	Care from Staff	
When, I went for servicing first time, I was not expecting that they will ask for tea. I was in waiting area they ask me for Coffee and Tea which I like it very much. 	 Snacks	 Snacks	Personal Need	Quick Service	
Once when we were going to Mysore, my friend Manju left the car key in the car itself, due to which we were not able to open the door of the car. At that time, we called  Ravindra Toyota, then Ravidra Toyota called the Mysore Ravindra Toyota and Mysore staff called Nandi Toyota company. It was evening time 7 or 7.30 pm, then also they came and removed the key and gave us. They came immediately and attended us. They visited so far to help us for which they charged 1250 rs that we do not mind but they came late in evening to help us that was important for me.	 Roadside Assistance	 Roadside Assistance	Personal Need	Issue Resolution	
One time my car tire purchased at Mysore & I dont know to open Stephany then they came & guide me how to open it & they changed the tire also.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Pick up / Drop	
I was in urgent I was in hurry for going village in emergency and I have to do car servicing only the oil change and washing work they made the work properly as I told more than my expectation.	 Issue Resolution	 Issue Resolution	Quick Service	Personal Need	
In last servicing, I given my car for servicing that time I didnt told to  service advisor about my car scratches then also, they painted my car, where scratches occurred is good. This experienced given me good feeling.	 Issue Resolution	 Issue Resolution	Quick Service	Others	
Once my car stopped working at Nandurbar around 40-50km distance. Their staff reached within half an hour at my spot. They gave me good service. They did my cars work properly. My family was also with me and we were stuck in the village area but they gave me good service.	 Roadside Assistance	 Roadside Assistance	Quick Service	Issue Resolution	
I had faced oil leakage problem far from 10 kms from service center, when I had called the service center they had immediately approached me and solved my problem.	 Roadside Assistance	 Issue Resolution	Roadside Assistance	Detailed Explanation	
Once I was going to canteen and suddenly the oil was finished. I called the service center and they sent a technician for solving the problem. I was not expecting that it can resolve quickly.	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Quick Service	
When I visited to service center they give me their motor bike & told me to finish my work, while we are completing the servicing.	 Personal Need	 Personal Need	Issue Resolution	Care from Staff	
At time of delivering my car it was my birthday. So, they got to know and celebrated my birthday with cake. It was my happy movement.	 Gift / Free Stuff	 Gift / Free Stuff	Personal Need	Issue Resolution	
Once I went to servicing my car but company car have been drop me on my door step but no other showroom gives this facility.	 Pick up / Drop	 Personal Need	Pick up / Drop	Quick Service	
I called the service center for test driving, then they are come quickly give the car for test driving it is heart touching for me.	 Personal Need	 Roadside Assistance	Quick Service	Personal Need	
One day I am going to dealership it was raining, I did not have my umbrella with me. A dealership staff quickly came to me and held an umbrella over me until I reached my car. This is my Heart touching Experience.	 Personal Need	 Personal Need	Quick Service	Issue Resolution	
Its been 20 days, I have purchased my car. I wanted to tow my car from there only. I also went in Ludhiana and over there, I got good response and when I made call to them, they came up me immediately for help. We got our car on the committed time and it was done in insurance we didn't paid any of the money.	 Roadside Assistance	 Roadside Assistance	Quick Service	Detailed Explanation	
We all returned from Banaras but car was not started even I was press button 4 to 5 times but still car was not started and clutch was slowly pressed, time was around 6.15 to 6.30am in morning then I called and they received the call then they said, don?t worry we help you I will guide you and you will do the same.	 Roadside Assistance	 Issue Resolution	Pick Up / Drop	Roadside Assistance	
It was Sunday, my car has stopped working on road. In that some light was blowing. I called to dealership, it was close because of Sunday, then I called \\""GM\""\"" and requested him. He personally came and called technician and check the car. This thing I liked."	 Roadside Assistance	 Roadside Assistance	Issue Resolution	Care from Staff	
Once I had took my car for servicing, so there is one person over there Mr.Lekpal, he is a good person. He always does the work nicely and after servicing, he dropped me from his bike to my home.	 Pick up / Drop	 Care from Staff	Issue Resolution	Personal Need	
After purchasing few day later there was some problem in my car. I went near to service center people and told them take some extra money but repair it properly. So they said we don't want money we will repair your car.Then also I told them take some extra 50rs then also they didn't took it so i thought how they are good i feel very good. Again said that sir i will wash it 2-3 time but i will not take money. I gave them 100rs note but they didn't took which touch to my heart.  	 Issue Resolution	 Issue Resolution	Quick Service	Free Service / Discount	
Dealership staff always remember my birthday and my family sometime forgot but dealership staff send car for me my on birthday and cut the cake and celebrate my birthday.	 Gift / Free Stuff	 Gift / Free Stuff	Personal Need	Care from Staff	
We planned to purchased Innova car, so we called in Toyota. Before that, I have also one Toyota car then too they told to purchase second one. They explained me features clearly. After that the G.M told me, we will send you car within 10 minutes. I wanted to go to my district in Gondiya & I had less time. My friends were also with me. We waited there for test drive, we didnt know they came or they made us fool but in exact 10 minutes, they came with the car. We thought, they understand our feelings & also take care about it. All those things was given me good feelings.	 Detailed Explanation	 Personal Need	Roadside Assistance	Detailed Explanation	
I took a new crysta and it was on Sunday and I need my car on that day only and there is no work done on Sunday so only one staff came and he deliver my car to me this was an happy movement for me. I never thought that on Sunday also they deliver the car this made me more happy.	 Personal Need	 Personal Need	Quick Service	Issue Resolution	
I purchased my car on my son's birthday and they celebrate it very well	 Gift / Free Stuff	 Gift / Free Stuff	Personal Need	Quick Service	
In my car left side mirror was not working properly then I gone to service center after that they repaired my car within 5 to 10mins, that time weather was not proper it was a summer time still he done my work as soon as possible. They told me they will repair my car in one hour not they repaired it within 10 minutes only.	 Quick Service	 Quick Service	Issue Resolution	Roadside Assistance	
While booking they told that will take 3 months for delivery but they delivered within 1 week. This was very happy moment for me by the harsha dealership	 Quick Service	 Personal Need	Quick Service	Pick up / Drop	
I have purchased this Innova 2 years back that time I was having loan till now but still they give me loan for new Innova and give me new Innova model and this was good experience for me. This is good experience that they look customers reputation and even ongoing of old loan they give new loan to customers. 	 Personal Need	 Gift / Free Stuff	Personal Need	Issue Resolution	
Once at home only my car was damaged,I called  cutomer care,so after that the van came from Uttam Toyota and they took my car to the service center for servicing.	 Roadside Assistance	 Roadside Assistance	Personal Need	Pick up / Drop	
I dropped my car because there was more sunlight, they came with an umbrella & drop me at inside because of that the I was escaped from sunlight.	 Personal Need	 Personal Need	Care from Staff	Pick up / Drop	
Once my car met with an accident in Trissur. When I called in Calicut dealership that time Mr. Shyam received my call and at night 9.00 pm, he gave me all instruction about the car. After 3 days, I took car for repairing in Calicut dealership. It was a minor accident. After repairing to take car from dealership, I reached over there and after closing time by 7.00 pm. After the working time also the staff Nizar was waiting for me. As he was waiting for me, he missed the train by which he goes daily. Leaving their own work, they deal, so nicely with customers that thing, I liked a lot. His brother called was coming again and again. He was on the counter for insurance claim and all he only did but I don?t know his posting level. 	 Personal Need	 Issue Resolution	Personal Need	Roadside Assistance	
Once, I didn't take an appointment of my car. I was going to Delhi immediately that time I have to do change my cars oil urgently then they change it and gave me car.	 Personal Need	 Quick Service	Personal Need	Care from Staff	
When I purchased the new car, it was my very good experience and during my car first service, I had a very good experience, whatever I told to them, they completed all the work of my car and they handover the vehicle on tim
